Frame,left_001_X,left_001_Y,left_001_Z,left_002_X,left_002_Y,left_002_Z,left_003_X,left_003_Y,left_003_Z,volume_001_X,volume_001_Y,volume_001_Z,volume_002_X,volume_002_Y,volume_002_Z,volume_003_X,volume_003_Y,volume_003_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_volume_001_X,zed_volume_001_Y,zed_volume_001_Z,zed_volume_002_X,zed_volume_002_Y,zed_volume_002_Z,zed_volume_003_X,zed_volume_003_Y,zed_volume_003_Z
50,3571.163086,1049.533081,-174.063995,3546.581543,1066.387939,-225.531204,3480.912354,1061.844971,-110.415382,3587.035889,1053.014282,-67.939552,3521.852783,1041.330566,-150.820465,3537.380859,1038.45752,-287.422516,3813.272217,1666.719482,230.376328,3898.827881,1641.044678,147.849716,3895.283936,1558.359741,178.616959,3701.43457,1342.064087,198.301422,3660.266357,1324.231445,121.27713,3805.078125,1340.708252,133.543594
51,3571.126953,1049.514893,-174.079193,3546.716064,1066.417969,-225.417252,3480.925537,1061.801636,-110.432999,3587.01709,1053.011108,-67.92083,3521.843018,1041.342285,-150.825546,3537.362061,1038.43689,-287.44101,3813.26709,1666.719116,230.383133,3898.827393,1641.050049,147.85759,3895.280273,1558.369751,178.615891,3701.450195,1342.067749,198.287659,3660.261963,1324.265015,121.278488,3805.076904,1340.734985,133.562683
52,3571.108398,1049.510376,-174.08786,3546.661377,1066.366943,-225.508591,3480.922852,1061.756836,-110.475372,3587.000488,1053.02478,-67.93026,3521.81958,1041.375366,-150.832245,3537.395264,1038.458862,-287.419586,3813.270752,1666.719727,230.4086,3898.775635,1641.02356,147.879639,3895.273682,1558.385864,178.617599,3701.468018,1342.085815,198.276901,3660.263916,1324.268555,121.300804,3805.091064,1340.75647,133.54599
53,3571.092529,1049.512817,-174.110306,3546.62207,1066.365967,-225.529678,3480.937256,1061.756104,-110.462929,3586.989014,1053.036377,-67.924835,3521.789795,1041.409912,-150.86203,3537.418701,1038.446899,-287.418274,3813.27002,1666.729736,230.442154,3898.782715,1641.023926,147.897766,3895.268799,1558.424683,178.66008,3701.488037,1342.106567,198.267349,3660.281738,1324.300903,121.265045,3805.111328,1340.776001,133.537216
54,3571.066162,1049.510132,-174.116425,3546.64624,1066.362793,-225.497925,3480.945312,1061.76355,-110.451996,3586.977295,1053.046021,-67.920067,3521.753906,1041.44812,-150.842041,3537.417969,1038.435425,-287.411102,3813.279053,1666.724487,230.458984,3898.77124,1641.025757,147.927872,3895.189209,1558.395142,178.680664,3701.444092,1342.082397,198.330017,3660.262695,1324.341919,121.29586,3805.13916,1340.793457,133.516953
55,3571.039551,1049.496216,-174.12233,3546.664795,1066.356567,-225.486923,3480.970459,1061.758301,-110.468147,3586.984863,1053.06311,-67.929443,3521.821533,1041.310181,-150.69989,3537.446289,1038.44519,-287.396515,3813.279297,1666.727905,230.481628,3898.768799,1641.015991,147.914536,3895.167969,1558.415771,178.620773,3701.442871,1342.089111,198.389023,3660.269287,1324.358154,121.265152,3805.162109,1340.811035,133.534775
56,3571.02124,1049.49646,-174.140915,3546.654785,1066.385254,-225.50296,3480.966064,1061.783569,-110.450699,3586.975342,1053.036743,-67.906021,3521.828857,1041.330566,-150.691574,3537.43042,1038.426758,-287.386017,3813.267334,1666.724243,230.509735,3898.775879,1641.009033,147.921036,3895.193115,1558.402222,178.677551,3701.458008,1342.123901,198.42923,3660.295898,1324.396362,121.250084,3805.17749,1340.807129,133.537582
57,3571.007324,1049.479248,-174.137619,3546.644531,1066.354004,-225.495117,3480.951172,1061.789429,-110.43882,3586.986328,1053.029541,-67.921509,3521.812744,1041.358398,-150.690002,3537.464111,1038.424683,-287.380737,3813.269287,1666.699097,230.493484,3898.751465,1640.981934,147.925797,3895.276367,1558.406372,178.683487,3701.465088,1342.139404,198.460281,3660.294678,1324.416504,121.217644,3805.186523,1340.816528,133.51561
58,3571.013428,1049.473633,-174.159729,3546.620361,1066.355103,-225.540146,3480.970459,1061.771973,-110.437241,3586.993164,1053.013794,-67.898979,3521.797119,1041.37793,-150.680618,3537.4729,1038.413208,-287.382965,3813.28833,1666.706787,230.504761,3898.739258,1640.978638,147.900589,3895.156982,1558.348755,178.63623,3701.483643,1342.124268,198.516983,3660.296875,1324.43042,121.220207,3805.224121,1340.821045,133.539337
59,3571.009033,1049.476074,-174.16423,3546.643799,1066.375366,-225.535202,3480.964844,1061.72522,-110.423393,3587.003174,1052.994141,-67.897362,3521.786133,1041.520874,-150.806427,3537.475098,1038.411987,-287.386108,3813.310791,1666.708862,230.537338,3898.781738,1640.983398,147.938446,3895.211914,1558.381836,178.611557,3701.501221,1342.139893,198.535172,3660.294434,1324.438721,121.215126,3805.217041,1340.798462,133.512283
