Frame,pitch_001_X,pitch_001_Y,pitch_001_Z,pitch_002_X,pitch_002_Y,pitch_002_Z,pitch_003_X,pitch_003_Y,pitch_003_Z,right_001_X,right_001_Y,right_001_Z,right_002_X,right_002_Y,right_002_Z,right_003_X,right_003_Y,right_003_Z,right_004_X,right_004_Y,right_004_Z,right_005_X,right_005_Y,right_005_Z,right_006_X,right_006_Y,right_006_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_pitch_001_X,zed_pitch_001_Y,zed_pitch_001_Z,zed_pitch_002_X,zed_pitch_002_Y,zed_pitch_002_Z,zed_pitch_003_X,zed_pitch_003_Y,zed_pitch_003_Z,zed_pitch_004_X,zed_pitch_004_Y,zed_pitch_004_Z
30,3572.958496,1497.552368,355.319824,3573.540039,1305.110718,340.859497,3566.181641,1077.446167,371.980225,3164.126709,1455.144531,123.989578,3115.812988,1460.758545,221.961426,3145.546143,1492.195923,192.217484,3141.105469,1486.647705,148.717697,3093.831055,1460.75647,179.221512,3117.410889,1497.520752,181.338943,3871.568115,1661.919922,21.510994,3789.294189,1644.608521,-66.400475,3817.945068,1560.838989,-68.75209,3834.584961,1329.176392,137.74408,3758.46582,1324.2771,182.864319,3765.812256,1331.450195,35.075413,3811.49707,1310.226807,-11.35696
31,3572.914795,1497.616577,355.381378,3573.504883,1305.137451,340.904877,3566.291748,1077.529785,371.990509,3164.093262,1455.136475,123.998215,3115.80542,1460.748901,221.95752,3145.481445,1492.23877,192.328934,3141.034668,1486.625,148.623337,3093.808594,1460.780884,179.241577,3117.403564,1497.585693,181.381729,3871.563232,1661.950073,21.497238,3789.279053,1644.629761,-66.419373,3817.950195,1560.866699,-68.743896,3834.563477,1329.187866,137.767838,3758.470703,1324.283936,182.849533,3765.79541,1331.498535,35.069286,3811.463135,1310.224731,-11.319211
32,3572.953613,1497.606567,355.339691,3573.47583,1305.17627,340.946869,3566.343018,1077.579224,371.994965,3164.044922,1455.134766,124.024002,3115.581787,1460.807861,222.17067,3145.463867,1492.305176,192.324051,3140.848389,1486.667236,148.584412,3093.781738,1460.800537,179.243378,3117.377686,1497.63147,181.422867,3871.556152,1661.99292,21.499077,3789.277344,1644.653076,-66.411186,3817.957031,1560.897339,-68.795792,3834.568604,1329.230713,137.748108,3758.471436,1324.299316,182.875854,3765.802979,1331.525513,35.066418,3811.445312,1310.244385,-11.317992
33,3572.918945,1497.646118,355.381287,3573.475586,1305.181519,340.965973,3566.356201,1077.587646,371.991089,3163.997559,1455.166504,124.006218,3115.574219,1460.823853,222.196182,3145.460205,1492.349487,192.343094,3140.807861,1486.680176,148.59967,3093.761963,1460.801392,179.275574,3117.344727,1497.670776,181.447037,3871.562744,1662.003784,21.495834,3789.286377,1644.679199,-66.407455,3817.923096,1560.955688,-68.72113,3834.562012,1329.210938,137.742386,3758.491211,1324.32019,182.846741,3765.789062,1331.557373,35.062027,3811.424316,1310.254761,-11.219487
34,3572.916748,1497.670166,355.386597,3573.474365,1305.19873,340.984131,3566.33252,1077.594604,371.993805,3163.986572,1455.174927,123.997765,3115.781982,1460.797852,222.012115,3145.448975,1492.384277,192.341766,3140.778809,1486.690796,148.583023,3093.734863,1460.842651,179.273285,3117.325439,1497.70813,181.453674,3871.548584,1662.027832,21.501905,3789.285156,1644.690796,-66.421265,3817.891357,1561.005981,-68.716454,3834.562256,1329.248047,137.715637,3758.509277,1324.340454,182.841965,3765.785889,1331.579834,35.081509,3811.422363,1310.267456,-11.234267
35,3572.923828,1497.690186,355.383698,3573.481445,1305.231689,340.995514,3566.331055,1077.583862,371.969971,3163.992432,1455.189331,123.99472,3115.786133,1460.812866,221.963943,3145.461182,1492.405273,192.323425,3140.766357,1486.680908,148.587006,3093.721191,1460.854126,179.271927,3117.320068,1497.730957,181.447678,3871.547852,1662.029663,21.492603,3789.28125,1644.700806,-66.401337,3817.894531,1561.025513,-68.708,3834.552734,1329.229736,137.743759,3758.498291,1324.365845,182.866623,3765.793945,1331.603027,35.078136,3811.446289,1310.277832,-11.21586
36,3572.936279,1497.689575,355.371246,3573.476074,1305.227783,340.993469,3566.346191,1077.603882,371.981689,3163.990723,1455.207031,124.001869,3115.796631,1460.82666,221.989624,3145.462402,1492.425537,192.325333,3140.723877,1486.700562,148.58989,3093.720703,1460.876587,179.276291,3117.327881,1497.752563,181.432617,3871.551758,1662.047974,21.479607,3789.265869,1644.709473,-66.391441,3817.892334,1561.030396,-68.711288,3834.553467,1329.26001,137.735657,3758.575684,1324.350952,182.651001,3765.802979,1331.604492,35.076607,3811.40625,1310.264282,-11.243093
37,3572.931885,1497.691162,355.381134,3573.481934,1305.237183,340.990997,3566.359131,1077.61145,371.980225,3163.992188,1455.208984,123.987358,3115.795654,1460.840698,221.996109,3145.459717,1492.419556,192.33078,3140.726318,1486.729126,148.593719,3093.722168,1460.870972,179.298798,3117.335693,1497.756348,181.432983,3871.558105,1662.055908,21.467291,3789.277832,1644.698975,-66.390297,3817.901123,1561.040894,-68.703354,3834.581299,1329.265625,137.715973,3758.587158,1324.375854,182.776016,3765.807129,1331.607056,35.063778,3811.433594,1310.290771,-11.241313
38,3572.942871,1497.684937,355.375275,3573.481689,1305.231934,340.990143,3566.381592,1077.619995,371.983978,3164.031006,1455.224243,123.98597,3115.540771,1460.934448,222.210861,3145.475342,1492.414795,192.305084,3140.736572,1486.726074,148.588699,3093.7229,1460.869629,179.28949,3117.348877,1497.73938,181.431961,3871.582031,1662.03894,21.474379,3789.283203,1644.692749,-66.391968,3817.915771,1561.047485,-68.705116,3834.624268,1329.286377,137.70166,3758.534424,1324.377563,182.827698,3765.817627,1331.62207,35.049038,3811.465088,1310.282959,-11.310026
39,3572.955322,1497.678711,355.377716,3573.507568,1305.222168,340.969269,3566.394775,1077.633911,371.971741,3164.018066,1455.233765,123.988785,3115.738037,1460.883789,222.055237,3145.550781,1492.37207,192.238983,3140.753662,1486.729492,148.603256,3093.731201,1460.860718,179.289429,3117.362305,1497.72168,181.370193,3871.578613,1662.014038,21.492201,3789.299072,1644.691406,-66.396889,3817.922852,1561.035645,-68.7164,3834.666016,1329.28479,137.69191,3758.521484,1324.386719,182.814026,3765.837646,1331.61438,35.038979,3811.498047,1310.275635,-11.380798
