Frame,left_001_X,left_001_Y,left_001_Z,left_002_X,left_002_Y,left_002_Z,left_003_X,left_003_Y,left_003_Z,volume_001_X,volume_001_Y,volume_001_Z,volume_002_X,volume_002_Y,volume_002_Z,volume_003_X,volume_003_Y,volume_003_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_volume_001_X,zed_volume_001_Y,zed_volume_001_Z,zed_volume_002_X,zed_volume_002_Y,zed_volume_002_Z,zed_volume_003_X,zed_volume_003_Y,zed_volume_003_Z
31,3531.066162,1072.024048,-226.257812,3562.80127,1053.827148,-179.375198,3468.895996,1066.153809,-103.98967,3537.434082,1040.572144,-289.534546,3586.138428,1053.789185,-69.648109,3521.429688,1043.526367,-151.984756,3812.775879,1668.682251,228.957367,3898.451172,1642.602051,146.518311,3894.588867,1559.408936,177.136642,3702.039551,1343.536499,196.962402,3660.092529,1325.97522,119.277489,3805.010498,1341.705444,132.280518
32,3531.041504,1072.006592,-226.252762,3562.771484,1053.845703,-179.394592,3468.907715,1066.256104,-103.872818,3537.497314,1040.552612,-289.467957,3586.13501,1053.788696,-69.655151,3521.4104,1043.542114,-151.992477,3812.800049,1668.660278,228.933472,3898.443115,1642.606201,146.516525,3894.540283,1559.399902,177.131683,3702.043213,1343.544556,196.943634,3660.113037,1325.984985,119.243568,3805.019775,1341.729858,132.25412
33,3531.035156,1071.988525,-226.266129,3562.771484,1053.86145,-179.386566,3468.932129,1066.325195,-103.812035,3537.461182,1040.538696,-289.476074,3586.178223,1053.780273,-69.671082,3521.406982,1043.557129,-151.977936,3812.800049,1668.644897,228.941727,3898.443848,1642.598877,146.522858,3894.560303,1559.411133,177.124939,3702.025391,1343.567383,196.937332,3660.10498,1326.009155,119.241318,3805.051025,1341.790039,132.278839
34,3531.015625,1071.987427,-226.298462,3562.760254,1053.885376,-179.390976,3468.949951,1066.415161,-103.715981,3537.494141,1040.537354,-289.464142,3586.188965,1053.789307,-69.710014,3521.405518,1043.560181,-151.972046,3812.817627,1668.626831,228.955368,3898.461182,1642.598633,146.524078,3894.649902,1559.467407,177.213928,3702.027588,1343.570312,196.949081,3660.118164,1326.019653,119.231804,3805.027344,1341.750854,132.258514
35,3531.025635,1071.996338,-226.330582,3562.743896,1053.966797,-179.501129,3468.955811,1066.486938,-103.651222,3537.506104,1040.567871,-289.484253,3586.148926,1053.739868,-69.579536,3521.414062,1043.576538,-151.964813,3812.837402,1668.612305,228.958527,3898.468262,1642.603882,146.522476,3894.674072,1559.473145,177.220184,3702.016846,1343.580811,196.91008,3660.139404,1326.004517,119.2145,3805.01709,1341.755615,132.23848
36,3530.999023,1071.999878,-226.331985,3562.649902,1054.120361,-179.389954,3468.985352,1066.582764,-103.609123,3537.498535,1040.572266,-289.492004,3586.1521,1053.743774,-69.57634,3521.430664,1043.585083,-151.96492,3812.861328,1668.583618,228.963058,3898.471924,1642.615479,146.511093,3894.789795,1559.548462,177.206467,3702.036377,1343.585205,196.882523,3660.149658,1326.015137,119.216446,3805.009521,1341.762085,132.222961
37,3531.016357,1071.993164,-226.365799,3562.619629,1054.126709,-179.423019,3469.001709,1066.675049,-103.521416,3537.467041,1040.579346,-289.490814,3586.195068,1053.759277,-69.628876,3521.428955,1043.579224,-151.955597,3812.865234,1668.560425,228.97261,3898.472168,1642.61853,146.503769,3894.731934,1559.531494,177.121262,3702.047363,1343.574463,196.906387,3660.167725,1325.999634,119.192085,3805.024902,1341.770142,132.187164
38,3530.988281,1072.004761,-226.396698,3562.618408,1054.126343,-179.43573,3469.059814,1066.756836,-103.477608,3537.450439,1040.555664,-289.519623,3586.234375,1053.76123,-69.64325,3521.42041,1043.574829,-151.967819,3812.878174,1668.532959,228.950806,3898.484375,1642.61145,146.494919,3894.727783,1559.530273,177.123672,3702.052979,1343.584595,196.896652,3660.177002,1326.003418,119.158615,3805.01123,1341.748169,132.203644
39,3530.981201,1072.006104,-226.428345,3562.620605,1054.130981,-179.445328,3469.113037,1066.856079,-103.426476,3537.361084,1040.56543,-289.579895,3586.220459,1053.750732,-69.66095,3521.432373,1043.580811,-151.994553,3812.898193,1668.517822,228.943756,3898.495361,1642.619751,146.488647,3894.808594,1559.57666,177.164474,3702.058105,1343.586914,196.866669,3660.16626,1325.991211,119.148056,3805.028076,1341.743652,132.182907
40,3530.981689,1071.993164,-226.420898,3562.628418,1054.115601,-179.443802,3469.143555,1066.895264,-103.390892,3537.385254,1040.535767,-289.513763,3586.329102,1053.776001,-69.812019,3521.441162,1043.58313,-152.011841,3812.92334,1668.495972,228.927948,3898.498047,1642.621216,146.478333,3894.856934,1559.571777,177.172974,3702.067627,1343.573608,196.828583,3660.191895,1325.980957,119.147652,3805.023193,1341.738037,132.158585
41,3530.979736,1071.986206,-226.496628,3562.723877,1053.901245,-179.496506,3469.290283,1067.024048,-102.919273,3537.387207,1040.51355,-289.534973,3586.354736,1053.770508,-69.828133,3521.468994,1043.571533,-152.014877,3812.938721,1668.483887,228.923859,3898.501953,1642.606812,146.456757,3894.797852,1559.546143,177.096008,3702.088623,1343.554688,196.829391,3660.203369,1325.943604,119.148323,3805.028809,1341.726562,132.145554
42,3530.994873,1071.995361,-226.527206,3562.677246,1054.068237,-179.47081,3469.339844,1067.056885,-102.867416,3537.313965,1040.524048,-289.622925,3586.260498,1053.711304,-69.658508,3521.459229,1043.552612,-152.020401,3812.939697,1668.452881,228.91922,3898.52417,1642.615356,146.452408,3894.864014,1559.581665,177.154709,3702.081299,1343.55188,196.804596,3660.207764,1325.936279,119.145905,3805.034912,1341.714233,132.158203
43,3531.010498,1071.969849,-226.518784,3562.657959,1054.100342,-179.506668,3469.407959,1067.088379,-102.81456,3537.334473,1040.518311,-289.576141,3586.342529,1053.772705,-69.81498,3521.470459,1043.545898,-152.009109,3812.94751,1668.446899,228.929718,3898.542236,1642.624634,146.439713,3894.791748,1559.557617,177.091904,3702.09375,1343.53479,196.793793,3660.222412,1325.922852,119.136055,3805.053223,1341.710205,132.155029
44,3531.003418,1071.971313,-226.590851,3562.766846,1053.884155,-179.535614,3469.444336,1067.122803,-102.837448,3537.359375,1040.468994,-289.538116,3586.323486,1053.755615,-69.813995,3521.487305,1043.535034,-152.01709,3812.938232,1668.452026,228.913055,3898.548828,1642.615112,146.44577,3894.871826,1559.588501,177.174179,3702.112061,1343.522217,196.799622,3660.2146,1325.920166,119.140106,3805.051758,1341.68396,132.168243
45,3530.995605,1071.993164,-226.620758,3562.764893,1053.865967,-179.56192,3469.507324,1067.160767,-102.791725,3537.407959,1040.460815,-289.548584,3586.328125,1053.744873,-69.787018,3521.493896,1043.542847,-152.020523,3812.937988,1668.436768,228.894821,3898.536865,1642.62085,146.450897,3894.799316,1559.563965,177.073227,3702.100342,1343.520996,196.780853,3660.19165,1325.918213,119.161629,3805.060059,1341.676392,132.164001
46,3531.00415,1072.038086,-226.672943,3562.787598,1053.86731,-179.567871,3469.520752,1067.173462,-102.776382,3537.413086,1040.426636,-289.496796,3586.273438,1053.740356,-69.761734,3521.503174,1043.535767,-152.021469,3812.928955,1668.446045,228.913574,3898.530518,1642.608643,146.44339,3894.858643,1559.574097,177.181351,3702.10376,1343.509277,196.802383,3660.203613,1325.914429,119.155685,3805.071289,1341.67041,132.164688
47,3531.026123,1072.039307,-226.715103,3562.80835,1053.853882,-179.576645,3469.567383,1067.203369,-102.746742,3537.414062,1040.436523,-289.521423,3586.256104,1053.744751,-69.737122,3521.501953,1043.533813,-151.994873,3812.919678,1668.458984,228.895218,3898.520508,1642.603027,146.452682,3894.87085,1559.571289,177.17807,3702.102051,1343.504883,196.823349,3660.194824,1325.895142,119.171898,3805.068115,1341.66272,132.184341
48,3531.039795,1072.022705,-226.736023,3562.816895,1053.845703,-179.633774,3469.608154,1067.209351,-102.744354,3537.435059,1040.452148,-289.495483,3586.233154,1053.72937,-69.713196,3521.496582,1043.509888,-151.99942,3812.917969,1668.475098,228.903366,3898.500732,1642.607666,146.458618,3894.798096,1559.509644,177.086624,3702.109619,1343.518311,196.842911,3660.181396,1325.890137,119.187996,3805.056396,1341.672241,132.207291
49,3531.074463,1072.046265,-226.791885,3562.821289,1053.8479,-179.623138,3469.628662,1067.218628,-102.719376,3537.460205,1040.463379,-289.504669,3586.214111,1053.742432,-69.705292,3521.479248,1043.520874,-151.975555,3812.912598,1668.497437,228.912537,3898.483398,1642.62085,146.478592,3894.861572,1559.530151,177.194641,3702.101562,1343.518433,196.872208,3660.169189,1325.912842,119.189133,3805.044678,1341.664917,132.218719
50,3531.097412,1072.074829,-226.847137,3562.831787,1053.831421,-179.676163,3469.658447,1067.261841,-102.710899,3537.452393,1040.469116,-289.490479,3586.166748,1053.755127,-69.680244,3521.462402,1043.516602,-151.967361,3812.880859,1668.522461,228.907593,3898.483887,1642.615234,146.478119,3894.876221,1559.527466,177.191513,3702.115723,1343.515625,196.888596,3660.170166,1325.918945,119.187668,3805.025391,1341.680054,132.230896
51,3531.099365,1072.110352,-226.910675,3562.829834,1053.827515,-179.680084,3469.893311,1067.463501,-102.705544,3537.488525,1040.472046,-289.469788,3586.165771,1053.774902,-69.647827,3521.467041,1043.507935,-151.93338,3812.867676,1668.563477,228.899597,3898.475342,1642.612549,146.494858,3894.848145,1559.528442,177.207901,3702.104004,1343.518677,196.899292,3660.151367,1325.923218,119.209763,3805.02832,1341.67749,132.26149
52,3531.131348,1072.142334,-226.969391,3562.868408,1053.81958,-179.71521,3469.921143,1067.549194,-102.668663,3537.502197,1040.479614,-289.467529,3586.13208,1053.780884,-69.629341,3521.440674,1043.519531,-151.924103,3812.839355,1668.599854,228.888702,3898.4646,1642.61377,146.500153,3894.739258,1559.469238,177.185623,3702.09668,1343.524048,196.92514,3660.130371,1325.93689,119.206406,3805.02832,1341.683228,132.267746
53,3531.158447,1072.166504,-227.031647,3562.88208,1053.823364,-179.735886,3469.942871,1067.528076,-102.680382,3537.490723,1040.491211,-289.452118,3586.124023,1053.780518,-69.628883,3521.447021,1043.53894,-151.922104,3812.817871,1668.62793,228.899933,3898.450928,1642.608032,146.491806,3894.719482,1559.445923,177.201675,3702.070068,1343.520264,196.932343,3660.120605,1325.934692,119.220428,3805.029053,1341.699341,132.272095
54,3531.183838,1072.174072,-227.059021,3562.888916,1053.828613,-179.76915,3469.949463,1067.539795,-102.709259,3537.490967,1040.502563,-289.457397,3586.10791,1053.803223,-69.638725,3521.42749,1043.540039,-151.906555,3812.805176,1668.640015,228.910446,3898.441895,1642.604614,146.512131,3894.70459,1559.438599,177.190079,3702.063232,1343.52002,196.940994,3660.124512,1325.952759,119.204132,3805.037354,1341.711182,132.285385
